Date,Precinct,Area,Rooms,Storey,Price
2012-02-14,18,56.5,3,2,120000.0
2012-02-16,26,28.66,1,6,55000.0
2012-02-22,26,37.4,3,1,90000.0
2012-02-24,26,75.17,4,2,260185.0
2012-02-27,25,50.2,4,4,152000.0
2012-02-28,26,42.53,2,6,147280.0
2012-02-28,26,54.86,3,6,192518.0
2012-02-28,26,87.95,5,5,305382.0
2012-02-28,27,37.97,3,1,80000.0
2012-02-29,26,33.76,1,5,92598.0
2012-01-03,26,35.9,2,1,100000.0
2012-01-03,26,40.0,3,1,100000.0
2012-02-03,26,46.69,3,6,112000.0
2012-06-03,26,47.4,4,10,148000.0
2012-07-03,26,30.0,2,2,84000.0
2012-08-03,27,68.7,4,,260000.0
2012-09-03,25,43.6,3,1,120000.0
2012-12-03,26,36.5,3,2,102000.0
2012-12-03,27,45.0,4,5,110000.0
2012-12-03,27,51.7,4,3,215000.0
2012-12-03,27,57.0,5,8,175000.0
2012-12-03,27,66.08,4,2,228000.0
2012-03-13,27,44.9,3,5,130000.0
2012-03-15,27,19.0,2,1,77000.0
2012-03-15,27,47.8,4,5,163000.0
2012-03-15,27,67.2,4,3,167640.0
2012-03-16,25,49.7,3,7,155000.0
2012-03-16,26,45.9,3,1,130000.0
2012-03-16,26,87.89,5,6,301105.0
2012-03-19,26,47.4,4,3,140000.0
2012-03-19,27,44.9,3,1,120000.0
2012-03-20,25,59.1,4,1,145000.0
2012-03-20,26,46.77,4,2,144000.0
2012-03-20,26,61.9,4,3,160000.0
2012-03-20,26,88.18,5,3,293117.0
2012-03-21,26,46.9,4,11,143530.0
2012-03-21,27,46.2,4,5,147780.0
2012-03-21,27,46.5,3,1,123700.0
2012-03-22,27,45.35,3,3,127000.0
2012-03-22,27,77.2,4,4,255000.0
2012-03-23,26,36.66,3,1,110000.0
2012-03-23,26,47.94,2,5,166014.0
2012-03-23,27,46.6,4,9,130000.0
2012-03-26,27,37.0,3,1,44400.0
2012-03-27,25,35.9,2,7,125000.0
2012-03-28,27,33.7,3,4,100000.0
2012-03-29,27,37.6,3,4,80000.0
2012-03-29,27,56.8,5,9,153300.0
2012-03-30,25,63.0,4,8,155000.0
2012-02-04,18,32.2,2,2,51040.0
2012-02-04,27,37.8,3,5,115630.0
2012-03-04,25,69.8,4,1,140580.0
2012-03-04,27,45.0,4,5,110000.0
2012-04-04,27,50.4,4,4,140102.0
2012-04-04,27,55.2,4,1,156184.0
2012-06-04,27,47.2,3,2,127500.0
2012-11-04,27,37.3,3,5,117991.0
2012-11-04,27,56.0,4,3,180000.0
2012-11-04,27,58.7,4,10,152000.0
2012-12-04,26,37.2,3,11,103804.0
2012-12-04,27,47.5,4,5,133000.0
2012-04-13,26,47.1,3,8,100000.0
2012-04-16,25,46.1,3,4,128550.0
2012-04-16,27,23.3,2,2,64770.0
2012-04-16,27,24.1,2,5,74052.0
2012-04-16,27,25.2,2,5,88000.0
2012-04-17,27,30.0,2,4,91598.0
2012-04-17,27,36.6,3,5,100813.0
2012-04-18,27,51.63,4,1,100000.0
2012-04-18,27,57.0,5,5,172300.0
2012-04-20,26,74.93,4,5,249072.0
2012-04-23,27,47.1,4,5,150000.0
2012-04-24,25,63.0,4,8,155000.0
2012-04-25,26,49.7,3,2,150000.0
2012-04-26,26,29.0,2,4,81700.0
2012-04-30,26,45.07,3,2,116600.0
2012-01-05,26,29.0,2,2,87907.0
2012-04-05,26,36.2,3,2,55000.0
2012-04-05,27,30.4,2,1,89000.0
2012-08-05,25,48.5,3,9,127700.0
2012-08-05,27,48.0,4,6,120000.0
2012-09-05,25,35.9,3,1,89400.0
2012-09-05,25,43.8,3,1,159000.0
2012-09-05,25,50.6,3,1,115300.0
2012-09-05,26,36.0,3,2,104900.0
2012-09-05,26,38.0,3,3,101600.0
2012-09-05,26,48.46,2,3,161084.0
2012-09-05,27,66.3,4,4,242000.0
2012-10-05,26,47.94,2,5,155361.0
2012-10-05,27,30.0,2,4,70000.0
2012-10-05,27,35.5,3,4,99500.0
2012-11-05,26,37.0,3,3,60000.0
2012-11-05,26,48.84,2,1,171392.0
2012-11-05,26,74.96,4,4,242926.0
2012-05-14,25,30.4,2,5,100000.0
2012-05-15,26,48.12,2,4,155944.0
2012-05-17,27,19.4,2,4,53631.0
2012-05-18,18,56.6,3,,160000.0
2012-05-18,25,55.4,3,1,80000.0
2012-05-18,25,63.8,4,3,295000.0
2012-05-18,26,34.45,1,2,111644.0
2012-05-21,25,72.2,5,2,219000.0
2012-05-21,26,38.9,3,1,100440.0
2012-05-22,26,34.11,1,4,110542.0
2012-05-22,26,34.27,1,3,111060.0
2012-05-22,26,46.7,4,4,133151.0
2012-05-22,26,48.46,2,3,161085.0
2012-05-22,26,72.2,4,1,233981.0
2012-05-22,26,72.64,4,1,234259.0
2012-05-22,26,88.12,5,4,292917.0
2012-05-22,27,35.9,3,2,90000.0
2012-05-22,27,42.2,3,1,133492.0
2012-05-22,27,46.6,4,4,146915.0
2012-05-22,27,50.62,4,2,185000.0
2012-05-24,25,31.4,2,5,131000.0
2012-05-24,27,44.9,3,5,150000.0
2012-05-24,27,47.5,4,5,142000.0
2012-05-25,27,37.6,3,1,105000.0
2012-05-28,25,61.5,4,7,185000.0
2012-05-29,25,43.6,3,4,144500.0
2012-05-29,27,42.9,3,4,110000.0
2012-05-31,25,31.4,2,5,96000.0
2012-05-31,26,48.46,2,2,157046.0
2012-05-31,26,53.4,4,11,145388.0
2012-05-31,26,74.87,4,5,248873.0
2012-05-31,27,24.9,2,5,75960.0
2012-04-06,25,59.1,4,5,180070.0
2012-04-06,26,47.88,2,6,155167.0
2012-04-06,27,29.5,3,3,90144.0
2012-05-06,27,21.36,2,1,90000.0
2012-06-06,25,43.9,3,2,133000.0
2012-06-06,26,35.9,2,4,103000.0
2012-06-06,27,35.1,3,5,118000.0
2012-11-06,27,38.2,3,4,128300.0
2012-12-06,26,48.64,2,2,157630.0
2012-12-06,26,68.02,4,1,220435.0
2012-12-06,27,47.1,4,2,132842.0
2012-12-06,27,57.0,5,6,154300.0
2012-06-13,18,35.1,2,2,73820.0
2012-06-14,25,29.34,2,7,90000.0
2012-06-14,27,23.9,2,3,73352.0
2012-06-14,27,27.3,2,3,85673.0
2012-06-14,27,33.4,3,3,91772.0
2012-06-15,26,45.9,3,4,130000.0
2012-06-18,25,67.1,4,3,200000.0
2012-06-19,27,42.1,3,3,135364.0
2012-06-20,18,61.5,3,3,185000.0
2012-06-20,25,37.0,3,4,91600.0
2012-06-20,26,36.5,3,11,110000.0
2012-06-20,27,26.78,2,1,60000.0
2012-06-20,27,44.0,4,4,122980.0
2012-06-21,27,55.7,4,2,153900.0
2012-06-22,25,49.1,3,2,145000.0
2012-06-22,26,37.0,3,6,50000.0
2012-06-22,27,38.3,3,2,40000.0
2012-06-22,27,47.5,4,9,169240.0
2012-06-26,25,49.7,3,6,166920.0
2012-06-27,18,56.4,3,2,182000.0
2012-06-27,25,31.8,2,2,100000.0
2012-06-27,26,47.2,3,8,147756.0
2012-06-27,27,48.0,4,2,145771.0
2012-06-27,27,58.7,4,9,166126.0
2012-06-28,25,30.4,2,10,84000.0
2012-06-28,25,37.0,3,4,91600.0
2012-06-28,25,41.2,3,11,70000.0
2012-06-28,25,48.0,3,4,126300.0
2012-06-29,26,28.4,2,5,97000.0
2012-06-29,26,73.0,5,1,210000.0
2012-02-07,26,46.7,4,4,131151.0
2012-02-07,27,47.84,3,1,135000.0
2012-03-07,26,36.5,3,11,109059.0
2012-04-07,26,46.9,4,3,135640.0
2012-10-07,27,26.78,2,1,75000.0
2012-07-17,25,59.4,4,7,208650.0
2012-07-17,26,74.87,4,6,242634.0
2012-07-20,25,63.0,4,5,160000.0
2012-07-31,27,35.2,3,2,113577.0
2012-01-08,19,91.22,4,,137500.0
2012-02-08,30,39.3,3,3,102000.0
2012-03-08,27,43.0,3,1,122000.0
2012-06-08,26,75.23,4,1,250069.0
2012-06-08,26,52.5,4,8,100000.0
2012-07-08,25,57.8,4,2,167000.0
2012-07-08,26,48.29,2,3,137411.0
2012-07-08,26,47.88,2,6,155167.0
2012-07-08,30,88.4,4,2,200000.0
2012-08-08,25,57.9,4,1,120000.0
2012-08-08,27,38.0,3,8,115000.0
2012-10-08,25,59.1,4,3,179000.0
2012-10-08,26,61.9,4,4,189000.0
2012-10-08,27,47.4,3,1,120000.0
2012-08-13,19,61.7,3,1,70000.0
2012-08-13,26,88.45,5,2,258159.0
2012-08-13,26,39.8,3,2,100000.0
2012-08-14,31,76.1,4,5,230000.0
2012-08-16,26,28.74,2,2,83000.0
2012-08-22,18,48.2,3,1,155000.0
2012-08-22,25,46.1,,5,140000.0
2012-08-27,27,29.92,2,1,103000.0
2012-08-27,27,50.9,3,5,140000.0
2012-08-28,26,46.5,3,2,140000.0
2012-08-29,28,54.0,4,1,200000.0
2012-08-30,18,62.9,4,3,150000.0
2012-03-09,26,38.0,3,3,115700.0
2012-04-09,26,37.7,3,1,114800.0
2012-07-09,27,38.44,3,2,140000.0
2012-07-09,27,30.4,2,3,118000.0
2012-07-09,27,51.7,4,2,157000.0
2012-07-09,31,68.4,4,4,165000.0
2012-10-09,25,49.7,3,6,120000.0
2012-10-09,27,36.92,2,2,91000.0
2012-11-09,26,53.4,4,3,110000.0
2012-11-09,27,33.7,3,4,88000.0
2012-11-09,27,49.2,4,3,123000.0
2012-09-13,19,24.6,2,2,100000.0
2012-09-13,26,74.75,4,6,248475.0
2012-09-13,28,45.0,2,2,75000.0
2012-09-14,18,34.4,2,3,70000.0
2012-09-14,26,61.9,4,5,185000.0
2012-09-19,27,19.2,1,3,76000.0
2012-09-20,31,55.1,3,1,160000.0
2012-09-21,27,34.6,3,2,102500.0
2012-09-24,,50.2,,1,142000.0
2012-09-26,31,33.1,3,1,25000.0
2012-09-28,25,63.0,,1,133500.0
2012-09-28,27,29.3,3,5,81000.0
2012-01-10,25,67.4,4,2,290000.0
2012-03-10,19,31.8,2,11,85000.0
2012-03-10,26,53.5,4,6,140000.0
2012-03-10,27,30.0,2,2,96000.0
2012-05-10,25,63.1,4,2,254000.0
2012-05-10,25,49.7,3,7,151300.0
2012-05-10,27,27.02,2,1,97000.0
2012-08-10,31,56.6,4,1,170000.0
2012-10-10,27,37.62,3,2,120000.0
2012-10-10,31,45.8,2,,95000.0
2012-12-10,27,25.2,2,1,72000.0
2012-12-10,27,29.7,3,5,65000.0
2012-12-10,30,42.8,3,2,120000.0
2012-12-10,30,73.2,3,1,120000.0
2012-12-10,31,44.0,3,5,145000.0
2012-10-15,26,61.9,4,4,188000.0
2012-10-15,30,52.9,4,3,150000.0
2012-10-18,26,37.45,3,6,114000.0
2012-10-18,26,67.97,4,2,324000.0
2012-10-19,31,41.1,3,2,140000.0
2012-10-23,26,47.8,,2,145500.0
2012-10-23,30,64.2,2,3,230000.0
2012-10-24,25,58.6,4,1,145000.0
2012-10-24,26,47.0,,9,143143.2
2012-10-25,25,29.34,2,11,113000.0
2012-10-25,26,48.64,2,2,155378.0
2012-10-29,26,49.7,,5,150000.0
2012-10-30,27,29.0,2,2,100000.0
2012-10-31,25,37.0,3,4,130000.0
2012-10-31,27,23.44,2,2,100000.0
2012-11-16,18,28.9,3,5,57800.0
2012-11-16,26,47.3,4,8,145000.0
2012-11-20,25,49.7,,7,152000.0
2012-11-21,25,50.2,,4,153000.0
2012-11-23,25,30.32,,5,88000.0
2012-11-23,26,47.8,3,11,104500.0
2012-11-26,18,38.77,3,3,118000.0
2012-11-27,26,84.9,,5,240000.0
2012-11-29,30,48.1,4,3,147000.0
2012-01-12,31,36.0,2,,125000.0
2012-07-12,25,44.2,3,2,135600.0
2012-11-12,19,37.8,3,3,154000.0
2012-11-12,25,50.2,,5,134000.0
2012-11-12,25,63.4,,9,169000.0
2012-12-12,26,42.7,2,6,149845.0
2012-12-17,25,57.3,,8,165000.0
2012-12-18,25,57.3,4,3,133000.0
2012-12-21,25,50.2,,5,154000.0
2012-12-31,27,47.1,,2,144000.0
2013-02-01,18,46.7,3,4,80000.0
2013-03-01,26,29.7,3,3,71780.0
2013-03-01,29,43.0,3,1,137600.0
2013-03-01,29,43.0,3,1,137600.0
2013-04-01,16,47.8,3,2,40000.0
2013-04-01,17,39.4,3,,90000.0
2013-04-01,28,47.77,3,4,140000.0
2013-04-01,28,47.77,3,4,140000.0
2013-04-01,30,69.06,3,3,217411.0
2013-04-01,30,71.1,3,2,251216.0
2013-04-01,30,69.67,3,4,252773.0
2013-04-01,30,66.85,3,5,242599.0
2013-04-01,30,56.66,2,3,200933.0
2013-07-01,17,30.0,2,4,90000.0
2013-07-01,19,44.5,3,4,136000.0
2013-07-01,25,48.9,3,11,105000.0
2013-07-01,25,48.9,3,11,105000.0
2013-07-01,27,33.5,3,2,100000.0
2013-08-01,17,48.4,3,2,148000.0
2013-08-01,26,29.7,3,3,71780.0
2013-08-01,26,37.3,3,10,112000.0
2013-08-01,26,29.7,3,3,71780.0
2013-08-01,26,28.6,3,3,100000.0
2013-09-01,18,48.19,3,4,145000.0
2013-09-01,25,57.3,4,11,160000.0
2013-09-01,26,50.9,3,5,143000.0
2013-09-01,26,52.8,4,5,30125.0
2013-09-01,30,47.14,2,4,168045.0
2013-09-01,30,42.84,2,2,154700.0
2013-09-01,30,69.11,3,1,217569.0
2013-10-01,27,37.9,3,3,116000.0
2013-10-01,27,47.5,4,2,145000.0
2013-10-01,27,33.4,3,2,89870.0
2013-10-01,27,47.8,4,4,134400.0
2013-10-01,30,69.74,2,5,251839.0
2013-10-01,30,83.28,5,4,296878.0
2013-10-01,32,29.2,2,8,76922.0
2013-10-01,6,63.9,4,5,180000.0
2013-11-01,19,34.7,3,3,55000.0
2013-11-01,19,75.3,4,3,210000.0
2013-11-01,19,34.4,3,1,82000.0
2013-11-01,32,44.8,3,4,100000.0
2013-01-14,26,48.0,4,2,140000.0
2013-01-14,27,37.6,3,1,105000.0
2013-01-14,31,52.3,3,3,108990.0
2013-01-15,17,43.3,3,2,80000.0
2013-01-15,27,38.6,3,5,95400.0
2013-01-15,29,50.4,2,4,200000.0
2013-01-15,29,50.4,2,4,200000.0
2013-01-16,17,21.35,1,3,40000.0
2013-01-16,32,64.3,4,2,175000.0
2013-01-17,26,47.8,4,5,100000.0
2013-01-17,6,37.05,1,4,218957.0
2013-01-18,27,47.8,4,9,120000.0
2013-01-18,27,46.6,4,11,129000.0
2013-01-21,26,53.3,4,5,150620.0
2013-01-21,28,59.54,4,5,177000.0
2013-01-21,28,59.54,4,5,177000.0
2013-01-21,30,92.9,2,3,369656.0
2013-01-22,26,73.0,5,2,210000.0
2013-01-22,26,28.1,2,1,88000.0
2013-01-22,26,28.1,2,1,88000.0
2013-01-22,26,47.6,3,1,123710.0
2013-01-22,26,73.0,5,2,210000.0
2013-01-22,26,28.1,2,1,88000.0
2013-01-22,30,46.3,3,2,122360.0
2013-01-23,16,21.73,2,2,60000.0
2013-01-23,16,48.6,3,1,128469.0
2013-01-23,27,27.4,2,5,86210.0
2013-01-23,31,36.3,3,1,127000.0
2013-01-24,25,57.3,4,11,137000.0
2013-01-24,26,47.2,4,4,100000.0
2013-01-25,32,47.3,4,2,145000.0
2013-01-28,29,32.4,2,2,128000.0
2013-01-28,29,32.4,2,2,128000.0
2013-01-28,30,36.7,3,2,112600.0
2013-01-28,31,103.2,5,1,240497.0
2013-01-29,18,60.6,3,2,165641.0
2013-01-29,27,47.6,4,6,130400.0
2013-01-29,27,35.6,3,4,109000.0
2013-01-29,27,44.33,4,1,136000.0
2013-01-30,18,40.7,3,3,80000.0
2013-01-30,19,64.3,3,3,157270.0
2013-01-30,31,38.6,3,3,85000.0
2013-01-30,6,58.4,5,3,231000.0
2013-01-31,16,54.5,4,1,140000.0
2013-01-31,16,62.0,4,1,166010.0
2013-01-31,25,29.34,2,6,90000.0
2013-01-31,25,68.7,4,3,257000.0
2013-01-31,27,44.0,3,3,124000.0
2013-01-31,27,44.0,3,3,124000.0
2013-01-31,27,58.7,4,10,144300.0
2013-01-02,17,117.57,4,2,255000.0
2013-01-02,26,73.0,5,2,210000.0
2013-04-02,27,46.5,4,3,140000.0
2013-05-02,6,31.13,1,5,156255.0
2013-05-02,18,25.6,2,1,76720.0
2013-05-02,27,32.9,3,3,87290.0
2013-05-02,27,38.6,3,5,95400.0
2013-05-02,6,40.59,2,2,141649.0
2013-05-02,6,60.82,3,1,197648.0
2013-05-02,6,63.61,4,3,234890.0
2013-05-02,6,63.8,3,4,237504.0
2013-05-02,6,72.7,5,,200000.0
2013-06-02,16,51.1,4,1,124770.0
2013-06-02,27,46.5,4,11,129000.0
2013-07-02,27,37.94,3,2,120000.0
2013-08-02,4,56.5,3,1,186000.0
2013-08-02,17,97.0,5,2,60000.0
2013-08-02,25,50.2,4,5,140000.0
2013-08-02,26,47.4,4,2,120000.0
2013-12-02,17,60.8,4,8,150000.0
2013-12-02,26,29.5,3,1,73750.0
2013-12-02,31,30.0,2,3,100000.0
2013-12-02,6,43.33,3,2,141657.0
2013-02-13,29,55.58,2,5,250000.0
2013-02-13,6,35.96,2,1,128636.0
2013-02-13,6,48.01,3,4,188862.0
2013-02-14,4,33.2,2,1,70000.0
2013-02-14,6,35.67,2,3,125935.0
2013-02-14,17,99.98,5,,150000.0
2013-02-14,30,49.0,2,2,250000.0
2013-02-14,6,57.94,3,1,205411.0
2013-02-15,6,26.85,1,5,152597.0
2013-02-15,18,51.52,3,2,90000.0
2013-02-15,6,42.92,3,3,158587.0
2013-02-15,6,50.39,3,2,182156.0
2013-02-15,6,56.05,3,3,211322.0
2013-02-15,6,60.8,3,2,224591.0
2013-02-18,18,25.6,2,1,38360.0
2013-02-18,26,28.6,3,3,100000.0
2013-02-18,31,44.1,3,2,120000.0
2013-02-18,31,53.7,3,2,140000.0
2013-02-18,6,55.15,4,3,295000.0
2013-02-19,6,35.54,3,2,125406.0
2013-02-19,6,36.81,3,3,38000.0
2013-02-19,16,61.4,4,2,168370.0
2013-02-19,25,50.2,4,5,138000.0
2013-02-19,6,40.57,1,3,159701.0
2013-02-19,6,42.96,3,4,148734.0
2013-02-20,6,42.95,3,2,146914.0
2013-02-20,6,50.79,2,1,196801.0
2013-02-21,17,38.0,2,11,103000.0
2013-02-21,6,45.41,1,5,265584.0
2013-02-21,6,50.54,3,4,185117.0
2013-02-21,6,64.38,3,1,220720.0
2013-02-21,6,70.4,4,1,291000.0
2013-02-22,6,31.55,1,5,171228.0
2013-02-22,6,36.0,3,1,113000.0
2013-02-22,26,35.87,3,1,93000.0
2013-02-22,29,61.0,3,4,215000.0
2013-02-22,31,58.0,4,2,128000.0
2013-02-22,6,57.03,3,4,199725.0
2013-02-25,6,40.81,1,5,205818.0
2013-02-25,17,46.09,3,2,50000.0
2013-02-25,27,29.5,3,3,91000.0
2013-02-25,27,41.4,3,3,175500.0
2013-02-25,32,47.5,4,3,135000.0
2013-02-25,6,43.98,1,5,222041.0
2013-02-26,6,43.29,2,3,166035.0
2013-02-26,27,37.6,3,3,110000.0
2013-02-26,27,30.7,2,1,105000.0
2013-02-26,6,53.65,3,4,196184.0
2013-02-26,6,57.53,2,4,194517.0
2013-02-26,6,58.55,3,4,203449.0
2013-02-26,6,64.28,3,2,223148.0
2013-02-27,17,53.37,4,1,150000.0
2013-02-27,25,36.4,2,4,103000.0
2013-02-27,27,47.1,4,3,100000.0
2013-02-27,27,34.48,3,,70000.0
2013-02-27,30,31.2,3,3,91000.0
2013-02-28,6,40.43,2,3,129630.0
2013-02-28,6,43.35,2,5,215400.0
2013-02-28,16,32.5,2,3,70000.0
2013-02-28,29,90.3,4,3,440000.0
2013-02-28,29,90.3,4,3,440000.0
2013-02-28,6,48.14,3,3,167111.0
2013-01-03,26,88.9,5,6,288740.0
2013-01-03,29,34.3,2,2,180000.0
2013-04-03,26,29.3,2,7,60000.0
2013-04-03,27,19.2,2,4,63300.0
2013-04-03,30,32.4,2,2,120000.0
2013-04-03,6,55.52,3,4,189978.0
2013-05-03,25,31.4,2,4,60000.0
2013-05-03,6,56.24,3,1,201432.0
2013-05-03,6,60.58,3,3,208296.0
2013-06-03,31,57.7,4,2,60000.0
2013-07-03,6,35.62,2,4,123035.0
2013-07-03,6,40.43,2,4,140000.0
2013-07-03,6,40.59,2,2,140278.0
2013-07-03,6,48.31,3,1,176645.0
2013-07-03,6,52.44,3,4,197456.0
2013-07-03,6,55.01,2,5,248260.0
2013-07-03,6,57.85,3,2,217934.0
2013-07-03,6,63.28,2,3,226277.0
2013-07-03,6,43.4,2,5,223893.0
2013-08-03,6,43.14,1,5,277034.0
2013-08-03,26,37.3,3,5,100000.0
2013-08-03,27,37.6,3,3,121000.0
2013-08-03,27,55.8,5,4,67500.0
2013-09-03,19,61.7,3,2,240000.0
2013-11-03,6,37.51,1,5,215221.0
2013-11-03,30,32.38,2,2,90000.0
2013-11-03,32,24.5,2,4,105000.0
2013-11-03,32,24.5,2,2,80000.0
2013-12-03,16,68.6,5,2,216150.0
2013-12-03,25,43.6,3,4,145000.0
2013-12-03,27,46.5,4,3,120000.0
2013-12-03,32,37.8,3,2,95540.0
2013-12-03,6,61.1,4,1,178000.0
2013-03-13,17,82.2,4,2,230000.0
2013-03-13,28,63.0,4,2,66000.0
2013-03-13,28,63.2,4,1,190240.0
2013-03-13,28,63.0,4,2,66000.0
2013-03-13,28,63.2,4,1,190240.0
2013-03-13,6,58.46,3,3,209700.0
2013-03-14,26,37.3,3,6,87000.0
2013-03-14,27,85.32,4,5,287659.0
2013-03-14,29,31.0,3,2,89488.0
2013-03-14,32,47.9,3,7,110000.0
2013-03-14,6,73.4,4,4,220000.0
2013-03-15,6,31.56,1,4,108625.0
2013-03-15,6,40.67,1,5,197736.0
2013-03-15,6,44.95,3,2,210000.0
2013-03-15,6,48.13,3,2,162657.0
2013-03-15,6,56.18,3,2,190739.0
2013-03-15,16,61.5,4,2,100000.0
2013-03-15,19,48.4,3,2,90000.0
2013-03-15,27,45.91,2,3,157261.0
2013-03-15,27,46.43,3,2,130000.0
2013-03-15,27,30.0,3,5,114000.0
2013-03-15,29,38.8,3,,100000.0
2013-03-15,29,42.2,2,3,200000.0
2013-03-15,30,48.4,3,1,90000.0
2013-03-15,30,62.4,4,1,90000.0
2013-03-15,,62.4,4,1,90000.0
2013-03-15,6,60.01,3,3,208991.0
2013-03-15,6,60.2,3,1,231205.0
2013-03-15,6,62.32,3,2,228991.0
2013-03-18,17,55.35,2,6,205492.0
2013-03-18,26,47.7,3,1,111390.0
2013-03-18,26,29.1,2,,70000.0
2013-03-18,27,87.2,3,7,290837.0
2013-03-18,27,33.61,1,4,69007.0
2013-03-18,27,80.7,4,7,175926.0
2013-03-19,6,40.76,2,1,132592.0
2013-03-19,17,61.65,2,4,224908.0
2013-03-19,25,50.2,3,2,170000.0
2013-03-19,27,81.68,4,5,279071.0
2013-03-19,27,81.48,4,6,270515.0
2013-03-19,27,37.0,3,5,117000.0
2013-03-20,26,36.7,3,1,125000.0
2013-03-21,6,48.93,1,5,210194.0
2013-03-21,18,48.8,3,4,126848.0
2013-03-21,27,97.77,4,5,335400.0
2013-03-21,27,46.18,2,5,127138.0
2013-03-21,27,27.2,3,3,68000.0
2013-03-21,30,71.2,4,2,124360.0
2013-03-22,4,83.69,4,1,260000.0
2013-03-22,27,51.7,4,2,132000.0
2013-03-22,28,36.4,3,4,50000.0
2013-03-22,28,36.4,3,4,50000.0
2013-03-22,32,48.26,3,1,151000.0
2013-03-25,17,69.05,3,5,261444.0
2013-03-25,31,82.1,5,3,250000.0
2013-03-25,32,45.48,3,2,100000.0
2013-03-26,18,45.3,3,1,140000.0
2013-03-26,26,61.9,4,3,170000.0
2013-03-26,26,35.7,3,1,135000.0
2013-03-26,27,46.84,2,3,159996.0
2013-03-26,27,45.0,4,2,130000.0
2013-03-26,30,30.1,3,2,80000.0
2013-03-26,6,61.99,3,3,212963.0
2013-03-27,30,47.8,3,1,125000.0
2013-03-27,6,61.26,4,4,240000.0
2013-03-27,6,65.55,2,5,354874.0
2013-03-28,27,36.7,2,2,82470.0
2013-03-28,29,71.3,4,4,235000.0
2013-03-28,6,60.7,4,1,220000.0
2013-03-29,19,40.87,2,1,350000.0
2013-03-29,19,41.7,2,1,118000.0
2013-03-29,25,58.6,4,1,180000.0
2013-03-29,29,58.1,2,2,280000.0
2013-02-04,26,47.0,4,6,100000.0
2013-02-04,26,34.3,2,3,157500.0
2013-02-04,27,46.5,4,3,140000.0
2013-03-04,27,45.28,2,6,155434.0
2013-03-04,27,46.23,2,3,158284.0
2013-03-04,27,45.7,2,4,151591.0
2013-04-04,6,35.04,2,2,119020.0
2013-04-04,6,57.7,3,3,205715.0
2013-04-04,30,27.1,2,3,23330.0
2013-04-04,31,69.0,3,3,200000.0
2013-04-04,6,63.2,3,2,213593.0
2013-05-04,19,67.8,3,1,238000.0
2013-05-04,25,49.7,3,5,142500.0
2013-05-04,26,29.3,2,7,60000.0
2013-05-04,29,61.0,3,4,197000.0
2013-08-04,27,43.5,3,5,119850.0
2013-10-04,17,54.13,3,5,207761.0
